,Date,Ticker,Open,High,Low,Close,Volume
0,2022-12-21,APIC,1110.0,1115.0,1110.0,1115.0,1750400
0,2022-12-21,ALTO,50.0,50.0,50.0,50.0,226100
0,2022-12-21,RMKE,920.0,960.0,915.0,935.0,9985700
0,2022-12-21,BBSI,3600.0,3690.0,3340.0,3340.0,27100
0,2022-12-21,BBRM,85.0,90.0,78.0,78.0,83392300
0,2022-12-21,AGRS,90.0,91.0,89.0,90.0,1213100
0,2022-12-21,ANTM,2020.0,2070.0,2020.0,2030.0,57450500
0,2022-12-21,GOOD,484.0,498.0,482.0,490.0,6061200
0,2022-12-21,BEBS,750.0,790.0,725.0,770.0,190867700
0,2022-12-21,AYLS,114.0,117.0,110.0,115.0,20034200
0,2022-12-21,AUTO,1400.0,1400.0,1370.0,1380.0,1658700
0,2022-12-21,IKAN,62.0,63.0,60.0,62.0,771600
0,2022-12-21,ADMF,8975.0,9025.0,8975.0,9000.0,35600
0,2022-12-21,ADMG,155.0,156.0,154.0,154.0,32200
0,2022-12-21,TMAS,1985.0,2000.0,1960.0,1990.0,794300
0,2022-12-21,BUKA,254.0,264.0,254.0,260.0,47498000
0,2022-12-21,GOTO,89.0,89.0,84.0,85.0,1286655900
0,2022-12-21,CARS,75.0,76.0,72.0,74.0,25143100
0,2022-12-21,ZYRX,384.0,386.0,380.0,380.0,166600
0,2022-12-21,BNII,228.0,228.0,224.0,224.0,71000
0,2022-12-21,BINO,129.0,130.0,128.0,129.0,4374800
0,2022-12-21,AGII,2200.0,2310.0,2190.0,2260.0,6150100
0,2022-12-21,ACST,160.0,160.0,157.0,159.0,1802100
0,2022-12-21,BOLA,218.0,230.0,214.0,218.0,876100
0,2022-12-21,BACA,131.0,134.0,131.0,132.0,22180600
0,2022-12-21,IPCC,585.0,595.0,585.0,590.0,994200
0,2022-12-21,BMTR,282.0,282.0,276.0,276.0,12673400
0,2022-12-21,TOYS,69.0,70.0,68.0,69.0,2801100
0,2022-12-21,BSSR,4960.0,5025.0,4940.0,4990.0,3952800
0,2022-12-21,LABA,102.0,105.0,99.0,101.0,1660700
0,2022-12-21,ARKO,630.0,630.0,625.0,625.0,323900
0,2022-12-21,LINK,2720.0,2740.0,2670.0,2680.0,23800
0,2022-12-21,ALMI,272.0,272.0,268.0,268.0,700
0,2022-12-21,BBRI,4910.0,4940.0,4880.0,4910.0,31417400
0,2022-12-21,AKSI,292.0,300.0,288.0,292.0,36900
0,2022-12-21,AVIA,635.0,640.0,620.0,625.0,4389100
0,2022-12-21,SMCB,1460.0,1460.0,1445.0,1445.0,1403000
0,2022-12-21,ATIC,394.0,394.0,390.0,390.0,4600
0,2022-12-21,BABP,102.0,103.0,100.0,100.0,12122900
0,2022-12-21,DNAR,167.0,174.0,163.0,165.0,5792000
0,2022-12-21,AXIO,206.0,206.0,199.0,200.0,16344300
0,2022-12-21,CMPP,168.0,184.0,168.0,184.0,750800
0,2022-12-21,JSMR,2970.0,2990.0,2950.0,2970.0,796000
0,2022-12-21,ARGO,1205.0,1205.0,1150.0,1150.0,1000
